COUNTRY,Sum
Argentina,530
Australia,395
Belarus,68
Belgium,5783
Bolivia,15
Bosnia and Herzegovina,25
Canada,120
China,1
Colombia,7
Costa Rica,1927
Denmark,1
Dominican Republic,92
Estonia,59
France,32
Germany,11038
Guatemala,86
Honduras,60
India,15110
Ireland,3471
"Korea, Republic of",1447
Latvia,65
Lithuania,115
Pakistan,165
Philippines,744
Poland,3
Slovenia,5
Sweden,5
Turkey,25
United States,34725
Uruguay,81
Venezuela,164
